KÛd obce,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
574929,DolnÌ ÿedice,720,464,464,"10,12 %","0,00 %","0,43 %","10,12 %","0,00 %","6,03 %","6,46 %","1,93 %","0,86 %","1,93 %","0,21 %","0,21 %","10,12 %","0,00 %","3,01 %","34,69 %","0,21 %","0,21 %","3,23 %","0,21 %","0,21 %","0,43 %","9,05 %","0,21 %"
574953,D¯ÌteË,328,220,217,"17,97 %","1,38 %","0,46 %","3,68 %","0,00 %","6,45 %","3,68 %","1,84 %","0,46 %","1,84 %","0,46 %","0,00 %","13,82 %","0,00 %","7,37 %","25,80 %","0,00 %","0,00 %","3,22 %","0,46 %","0,00 %","0,00 %","10,59 %","0,46 %"
572977,Dubany,211,164,163,"15,95 %","0,00 %","0,00 %","2,45 %","0,00 %","4,29 %","6,13 %","3,68 %","0,61 %","2,45 %","0,00 %","0,00 %","11,65 %","0,61 %","2,45 %","36,80 %","1,22 %","0,00 %","2,45 %","0,00 %","0,00 %","0,00 %","7,97 %","1,22 %"
574961,HlaveËnÌk,221,141,138,"11,59 %","0,00 %","0,00 %","5,79 %","0,72 %","4,34 %","17,39 %","0,72 %","2,17 %","0,00 %","0,00 %","0,72 %","4,34 %","0,00 %","4,34 %","28,26 %","0,00 %","0,00 %","2,17 %","0,00 %","0,00 %","0,00 %","17,39 %","0,00 %"
574988,Holice,5 248,3 254,3 239,"15,28 %","0,15 %","0,06 %","8,73 %","0,15 %","3,64 %","7,65 %","1,04 %","0,67 %","1,54 %","0,09 %","0,24 %","11,05 %","0,03 %","4,19 %","28,58 %","0,03 %","0,12 %","4,07 %","0,33 %","0,15 %","0,24 %","11,54 %","0,30 %"
573019,HolotÌn,47,35,33,"0,00 %","0,00 %","3,03 %","0,00 %","0,00 %","12,12 %","6,06 %","3,03 %","0,00 %","3,03 %","0,00 %","3,03 %","9,09 %","0,00 %","6,06 %","27,27 %","0,00 %","0,00 %","6,06 %","0,00 %","0,00 %","0,00 %","21,21 %","0,00 %"
574996,HornÌ JelenÌ,1 635,1 027,1 024,"13,86 %","0,19 %","0,29 %","8,69 %","0,29 %","3,02 %","8,30 %","0,68 %","0,87 %","1,07 %","0,00 %","0,09 %","9,08 %","0,00 %","1,95 %","29,78 %","0,00 %","0,19 %","6,25 %","0,19 %","0,09 %","0,39 %","14,16 %","0,48 %"
575011,HornÌ ÿedice,807,529,526,"11,59 %","0,19 %","0,00 %","5,89 %","0,00 %","6,46 %","6,84 %","0,57 %","1,52 %","1,52 %","0,00 %","0,38 %","13,68 %","0,00 %","3,23 %","31,55 %","0,00 %","0,19 %","3,04 %","0,19 %","0,19 %","0,00 %","12,73 %","0,19 %"
575046,Hrobice,171,119,118,"11,01 %","0,00 %","0,00 %","1,69 %","0,00 %","8,47 %","8,47 %","0,84 %","0,84 %","1,69 %","0,84 %","0,00 %","11,86 %","0,00 %","6,77 %","30,50 %","0,00 %","0,84 %","3,38 %","0,00 %","0,84 %","0,00 %","11,86 %","0,00 %"
575054,Choltice,878,557,555,"9,00 %","0,00 %","0,00 %","5,04 %","0,18 %","7,38 %","6,66 %","1,80 %","0,72 %","1,26 %","0,00 %","0,72 %","15,49 %","0,18 %","1,98 %","35,13 %","0,00 %","0,00 %","4,14 %","1,08 %","0,36 %","0,18 %","8,28 %","0,36 %"
575062,ChoteË,257,164,163,"17,79 %","0,61 %","0,00 %","9,20 %","0,00 %","4,90 %","6,74 %","1,22 %","0,00 %","1,22 %","0,61 %","0,00 %","7,36 %","0,00 %","1,84 %","26,99 %","0,00 %","0,00 %","0,00 %","0,00 %","0,61 %","0,61 %","19,63 %","0,61 %"
572764,ChrtnÌky,81,62,62,"0,00 %","0,00 %","0,00 %","11,29 %","0,00 %","4,83 %","9,67 %","1,61 %","1,61 %","3,22 %","0,00 %","0,00 %","17,74 %","0,00 %","1,61 %","25,80 %","1,61 %","0,00 %","6,45 %","1,61 %","0,00 %","0,00 %","12,90 %","0,00 %"
